Inflect òbchòdzony | V;PPART;PASS;MPL	òbchòdzoné
Inflect biografiô | N;NOM(SG)	biografiô
Inflect baro | ADV	baro
Inflect Sërop | N;GEN(SG)	Syrëji
Inflect Powiôstka | N;NOM(PL)	Powiôstczi
Inflect apoplexia | N;NOM(FEM,SG)	apoplexia
Inflect tasmańskji | ADJ;VOC(MASC,SG)	tasmańsczi
Inflect pôłnié | N;NOM(SG)	pôłnié
Inflect staw | N;GEN(PL)	stawów
Inflect zawdzãka | N;GEN(SG)	zawdzãczi
Inflect rozebranié | N;NOM(NEUT,SG)	rozebranié
Inflect dzëj | N;GEN(PL)	dzejów
Inflect małô | ADJ;FEM;SG	Little
Inflect smietnik | N;GEN(PL)	smietników
Inflect słowiański | ADJ;INS(MASC,SG)	słowiańsczim
Inflect strzélka | N;NOM(SG)	strzélka
Inflect òczerkac | V;IPFV;IND;NFIN	òczerôk
Inflect Córeczka | N;VOC(SG,FEM)	Córeczkò
Inflect nôleżniczka | N;INS(SG,FEM)	nôleżniczką
Inflect disleksja | N;GEN(SG)	disleksji
Inflect rësznota | N;NOM(PL)	rësznotë
Inflect warãka | N;NOM(PL)	warënczi
Inflect dziãkczënnô | ADJ;NOM(FEM,SG)	dziãkczënné
Inflect państwòwi | ADJ;NOM(FEM,SG)	państwòwô
Inflect miónkark | N;GEN(PL,MASC)	miónkarków
Inflect gôrë | N;FEM;PR;PL	gôrë
Inflect obserwacjô | N;GEN(SG)	òbserwacji
Inflect sąsôdny | ADJ;GEN(FEM,PL)	sąsôdnëch
Inflect ògrańczenié | N;GEN(SG)	ògrańczenia
Inflect Brzóń | N;F;NOM(SG)	Brzóna
Inflect geneza | N;NOM(SG)	geneza
Inflect Żôgòwinë | N;NOM(PL)	Żôgòwinë
Inflect miza | N;ACC(SG)	mizë
Inflect òdnãlézc | V;NFIN	òdnalézc
Inflect zatoka | N;GEN(SG)	Zatoki
Inflect Kaszëbskô | ADJ;GEN(MASC,SG)	Kaszëbszégò
Inflect òsobnik | N;GEN(SG)	òsóbniczi
Inflect òkres | N;NOM(SG)	òkres
Inflect pùch | N;NOM(MASC,SG)	pùch
Inflect żëzny | ADJ;ACC(FEM,SG)	żëzné
Inflect kòżëch | N;GEN(SG)	kòżëchù
Inflect państwòwi | ADJ;MASC;LOC;PL	państwòwich
Inflect Chrobri | ADJ;GEN(MASC,SG)	Chrobrégò
Inflect paczét | N;GEN(SG)	paczétu
Inflect ricersczi | ADJ;VOC(MASC,SG)	ricersczi
Inflect ricersczi | ADJ;GEN(MASC,PL)	ricersczich
Inflect ricersczi | ADJ;INS(MASC,SG)	ricersczim
Inflect ricersczi | ADJ;NOM(FEM,SG)	ricerskô
Inflect Kalwarëja | N;GEN(SG)	Kalwarëji
Inflect Kraj | N;M3;NOM(SG)	Kraj
Inflect pòznanié | N;GEN(SG)	pòznaniô
Inflect patrón | N;ACC(FEM,SG)	patrónã
Inflect patrón | N;GEN(SG)	patrôna
Inflect Pòlano | N;GEN(SG,FEM)	Pòlanowa
Inflect Zelandzkô | ADJ;NOM(FEM,SG)	Zelandzkô
Inflect bazyliszek | N;NOM(SG)	bazyliszk
Inflect bazyliszek | N;GEN(PL)	bazyliszków
Inflect zabawa | N;ACC(SG)	zabawã
Inflect zabawa | N;GEN(PL)	zabawów
Inflect cerebry | N;GEN(FEM,SG)	cerebri
Inflect swiatowi | ADJ;GEN(MASC,SG)	swiatowégò
Inflect skóra | N;DAT(SG)	skórze
Inflect skóra | N;ACC(SG,FEM)	skórã
Inflect skóra | N;GEN(SG)	skórë
Inflect medycyna | N;DAT(SG)	medycynie
Inflect kôzanie | N;GEN(SG)	kôzania
Inflect dóm | N;GEN(SG)	dóma
Inflect Wacłôw | N;NOM(SG)	Wacłôw
Inflect rozëm | N;DAT(PL)	rozëm
Inflect awansowac | V;NOMLZ;N;SG	awansowónié
Inflect dłùgô | ADJ;NOM(FEM,SG)	dłùgô
Inflect wrog | N;GEN(SG)	wroga
Inflect Sam | N;ACC(SG)	Samùm
Inflect Tadeùsz | N;GEN(MASC,SG)	Tadeùsza
Inflect Tadeùsz | N;ACC(SG)	Tadeùszã
Inflect Stoleczny | ADJ;ACC(MASC,SG)	Stolecznym
Inflect Mało | ADV;DEG	Mało
Inflect mùzeja | N;LOC;PL	mùzeach
Inflect lëdëk | N;GEN(PL)	lëdów
Inflect jintegracjô | N;GEN(SG)	jintegracji
Inflect pòwszechnô | ADJ;NOM(FEM,SG)	pòwszechnô
Inflect Piątk | N;NOM(SG)	Piątek
Inflect Smólnik | N;NOM(PL)	Smólniczi
Inflect sniegùlc | N;NOM(SG)	sniegùlc
Inflect kònny | ADJ;NOM(FEM,SG)	kònnô
Inflect sédny | ADJ;NOM(FEM,SG)	Slédnô
Inflect kamień | N;INS(PL)	kamieniama
Inflect kamień | N;NOM(PL)	kamienie
Inflect anielskù | ADJ;ACC(FEM,SG)	anielskù
Inflect Żukówka | N;NOM(SG,FEM)	Żukówka
Inflect Cëm | N;ACC(MASC,SG)	Camyn
Inflect dwiérze | N;NOM(PL)	dwiérze
Inflect Tokarsczi | ADJ;NOM(FEM,SG)	Tokarsczé
Inflect dzéń | N;DAT(PL)	Tidzéniem
Inflect gramaticzka | N;ACC(SG)	gramatiką
Inflect Nasz | N;INS(FEM,SG)	Nasz
Inflect Jislam | N;DAT(SG)	Jislandzczi
Inflect stebel | N;ANT;GEN(PL,MASC)	stebłów
Inflect zurbanizowany | V;PPP;MPL;NOM	zurbanizowani
Inflect óchróniã | V;NFIN	óchróniã
Inflect pobyt | N;NOM(SG)	pobyt
Inflect infòrmatora | N;GEN(PL,MASC)	infòrmatorów
Inflect Federacëjô | N;NOM(SG)	Federacëjô
Inflect nôwôżny | ADJ;GEN(MASC,PL)	nôwôżniészich
Inflect stróna | N;NOM(SG)	stróna
Inflect stróna | N;LOC;SG	strónie
Inflect Żëcopis | N;NOM(MASC,SG)	Żëcopis
Inflect Młodzëzna | ADJ;GEN(MASC,PL)	Młodëch
Inflect kòncertowi | ADJ;ACC(FEM,SG)	kòncertową
Inflect daka | N;GEN(PL)	daków
Inflect pasyka | N;F;NOM(SG)	pasyka
Inflect òdlatiwacë | V;IMPF;3;PL	òdlatiwają
Inflect miesca | N;LOC;PL	miescach
Inflect paskudztwo | N;NOM(PL)	pasyczi
Inflect Henrik | N;NOM(MASC,SG)	Henrik
Inflect róża | N;NOM(PL)	różë
Inflect galaretowatë | ADJ;GEN(PL,MASC,ANIM)	galaretowatëch
Inflect ząb | N;GEN(PL)	zãbów
Inflect grisy | N;GEN;GEN(PL,MASC)	griseum
Inflect kaszëbsczi | ADJ;NOM(NEUT,SG)	kaszëbskò
Inflect srédny | ADJ;NOM(FEM,SG)	srédnia
Inflect wëdôwce | N;NOM(PL,MASC)	wëdôwczi
Inflect Rzym | N;LOC;SG	Rzymie
Inflect wróbelek | N;MASC;PSS3S;SG	wróbelk
Inflect trzeci | ADJ;GEN(MASC,SG)	Trzecégò
Inflect niwny | ADJ;VOC(MASC,PL)	niwné
Inflect òddzéł | N;GEN(PL)	òddzałów
Inflect wëróżnióny | ADJ;NOM(FEM,SG)	wëróżnionô
Inflect brunelka | N;NOM(FEM,SG)	brunelka
Inflect Ùkłôda | N;NOM(SG)	Ùkłôd
Inflect Wieża | N;NOM(SG,FEM)	Wieża
Inflect Gazomiérz | N;NOM(SG)	Gazomiérz
Inflect pòst | N;GEN(SG)	pòstu
Inflect spik | N;DAT(PL)	spikiem
Inflect spik | V;NFIN;INF	spikù
Inflect òbiektiwno | ADJ;NOM(FEM,SG)	òbiektiwno
Inflect sóstrowa | N;NOM(SG,FEM)	sostra
Inflect juniorka | N;LOC;PL	juniorkach
Inflect bòcón | N;NOM(PL)	Bòcóne
Inflect Pùstczi | N;NOM(PL)	Pùstczi
Inflect falszywòc | N;VOC(PL)	falszëwie
Inflect grësz | N;M3;NOM(SG)	grus
Inflect Rzim | N;NOM(MASC,SG)	Rzimù
Inflect Kóńcówka | N;GEN(SG)	Kònefczi
Inflect służąca | N;INS(FEM,SG)	służką
Inflect doktór | N;NOM(SG)	Doctor
Inflect òbrońca | N;NOM(SG,MASC)	òbrońca
Inflect jódny | ADJ;NOM(MASC,SG)	jôdny
Inflect bôjkopisarz | N;DAT(PL)	bôjkopisarzy
Inflect malën | ADJ;GEN(FEM,PL)	malënów
Inflect bakcyl | N;GEN(PL)	bakcylów
Inflect faktoria | N;ACC(SG)	faktoriã
Inflect symbòliczno | ADJ;NOM(FEM,SG)	symbòliczno
Inflect lagra | N;LOC;SG	lagrze
Inflect wysok | ADJ;NOM(FEM,SG)	Visoka
Inflect czëc | V;PRS;3;SG	czerëje
Inflect Zarząd | N;NOM(SG)	Zarząd
Inflect rogùtka | N;NOM(FEM,SG)	rogùtka
Inflect Pòetka | N;NOM(FEM,SG)	Pòetka
Inflect wiãcy | ADV	wiãc
Inflect jindustrëja | N;NOM(SG)	jindustrëjô
Inflect rézowac | V;INF	rézowac
Inflect òdrzutowi | ADJ;INS(MASC,SG)	òdrzutowëm
Inflect gãscë | N;DAT(SG)	gãsti
Inflect szôłtës | N;GEN(SG)	szôłtësa
Inflect Bezpòstrzédno | ADV	Bezpòstrzédno
Inflect Mòczëta | ADJ;NOM(FEM,SG)	Mòczitô
Inflect swòji | ADJ;DAT(MASC,SG)	swòjimù
Inflect BYC | V;1;SG;FUT	Będę
Inflect Chilónka | N;NOM(SG)	Chilónka
Inflect Szpanijô | N;GEN(SG)	Szpanii
Inflect Biblioteka | N;NOM(SG)	Biblioteka
Inflect Janioł | N;NOM(PL)	Janiołë
Inflect Janioł | N;GEN(PL)	Janiołów
Inflect krôj | N;GEN(PL)	krôjów
Inflect Płock | N;NOM(SG,MASC)	Płock
Inflect tradicja | N;INS(SG)	tradicją
Inflect pòjezerze | N;GEN(PL)	pòjezerzów
Inflect pòjezerze | N;GEN(SG)	pòjezérza
Inflect francusczi | ADJ;NOM(MASC,SG)	francusczi
Inflect pòniemiecczi | ADJ;NOM(MASC,PL)	pòniemiecczi
Inflect wëmióna | N;ACC(SG)	wëmiónã
Inflect kózła | V;IND;3;SG	kòzłuje
Inflect endonukleaza | N;ACC(SG)	endonukleazë
Inflect płatka | N;ACC(SG)	platkã
Inflect płatka | N;F;ACC(SG)	platką
Inflect bùta | N;GEN(PL)	bùten
Inflect zelësk | N;GEN(PL)	zelësków
Inflect pòkòlenie | N;GEN(PL)	pòkòleniô
Inflect ewòlucja | N;ACC(SG)	ewòlucjã
Inflect pòlskòkaszëbsczi | ADJ;GEN(MASC,PL)	pòlskòkaszëbsczich
Inflect chërny | ADJ;NOM(FEM,SG)	chërna
Inflect Ùbrzég | N;NOM(SG)	Ùbrzég
Inflect Cesarstwo | N;GEN(SG)	Césarstwa
Inflect metafora | N;ACC(SG)	metaforę
Inflect dinastia | N;NOM(SG)	dinastie
Inflect Celastracea | N;NOM(FEM,PL)	Celastraceae
Inflect Etnografny | ADJ;NOM(MASC,SG)	Etnografny
Inflect Etnografny | ADJ;IND;INS(MASC,SG)	Etnografnym
Inflect figùrka | N;LOC;PL	figùrkach
Inflect mòdzeli | N;GEN(PL)	mòdzele
Inflect cëpleznota | N;GEN(SG)	cëpleznie
Inflect òstatny | ADJ;NOM(MASC,SG)	òstatni
Inflect òstatny | ADJ;INS(MASC,SG)	òstatnim
Inflect òstatny | ADJ;NOM(MASC,SG)	òstatny
Inflect òstatny | ADJ;GEN(MASC,PL)	òstatnych
Inflect Krokòwie | N;NOM(PL)	Krokòwie
Inflect lota | N;ACC(SG)	lotã
Inflect Stolemna | ADJ;NOM(FEM,SG)	Stolemnô
Inflect fach | N;NOM(SG)	fach
Inflect gòdzynkòwatëch | ADJ;DAT(PL,MASC)	gòdzynkòwatëch
Inflect Pòlitik | N;NOM(PL)	Pòliticzi
Inflect Hordeum | N;ACC(SG)	Hordeum
Inflect Wysok | ADJ;NOM(FEM,SG)	Wëższô
Inflect chłopsczi | ADJ;GEN(MASC,PL)	chłopsczich
Inflect chłopsczi | ADJ;ACC(MASC,PL)	chłopsczé
Inflect Drezno | N;LOC;SG	Dreznie
Inflect nordowòzapadnô | ADJ;ACC(MASC,SG)	nordowòzapadné
Inflect warstwa | N;GEN(SG)	warstwë
Inflect warstwa | N;GEN(PL)	warstwów
Inflect rozrôdzanié | V;PROG;NFIN	rozrôdzanié
Inflect cygù | N;GEN(SG)	cygù
Inflect energiô | N;NOM(SG)	energiô
Inflect bartnik | N;DAT(FEM,SG)	bartnicë
Inflect deklaracëjô | N;ACC(SG)	deklaracjã
Inflect sylwetka | N;DAT(SG,FEM)	sylwetce
Inflect Miemiec | N;INST;PL;MASC	Miemcama
Inflect Pòtim | N;NOM(SG)	Pòtimù
Inflect Jakùba | N;ACC(SG)	Jakubę
Inflect baderëja | N;NOM(PL)	Badérëje
Inflect Publiczny | ADJ;NOM(FEM,SG)	Publiczna
Inflect chrupôcz | N;NOM(SG,MASC)	chrupôcz
Inflect Linux | N;NOM(SG)	Linux
Inflect kapłan | N;INST;SG	kapłanã
Inflect mięso | N;NOM(SG,NEUT)	mięso
Inflect pôtnik | N;DAT(FEM,SG)	pątnicë
Inflect Pòzytiwnô | ADJ;NOM(FEM,SG)	Pòzytiwnô
Inflect dokôz | N;GEN(PL)	dokôzów
Inflect Cena | N;ACC(SG)	Ceną
Inflect kwót | N;ACC(SG)	kwòtã
Inflect lëbawa | ADJ;NOM(FEM,SG)	lëbawé
Inflect hodowla | N;NOM(SG)	hodowla
Inflect òbrzészkòwi | ADJ;NOM(FEM,SG)	òbrzészkòwô
Inflect Brëkòwelë | V;PST;3;PL	Brëkòwelë
Inflect rzimsczi | ADJ;GEN(MASC,SG)	rzimsczégò
Inflect lingwista | N;DAT(FEM,SG)	lingwiscë
Inflect lingwista | N;ACC(SG)	lingwistã
Inflect Pontan | N;NOM(SG)	Pontanus
Inflect pòłova | N;FEM;SG	pòłowa
Inflect NôRZĄDZENIE | N;VOC(SG)	nôrzãdo
Inflect strzebny | ADJ;M;NOM(SG)	strzébny
Inflect gdze | ADV	Gdze
Inflect krziżewi | ADJ;GEN(MASC,PL)	krziżowëch
Inflect sanskrica | N;LOC;SG	sanskrice
Inflect kaczka | N;FEM;SG	Kaczô
Inflect bróna | N;GEN(SG)	brómë
Inflect pùchar | N;NOM(SG)	pùchar
Inflect wałónk | N;F;NOM(SG)	Waleska
Inflect pùcczi | ADJ;ACC(MASC,SG)	pùcczégò
Inflect Bank | N;NOM(SG)	Bank
Inflect bakteria | N;NOM(SG)	bakteria
Inflect Necël | N;NOM(MASC,SG)	Necel
Inflect kwiat | N;NOM(PL)	kwiatë
Inflect kwiat | N;GEN(PL)	kwiatów
Inflect pismienny | ADJ;MASC;INST;SG	pismiennëm
Inflect mònastér | N;NOM(SG)	mònastér
Inflect diakritik | N;NOM(PL)	diakriticzi
Inflect zjesc | V;NFIN	zjesc
Inflect zdrëszony | ADJ;GEN(MASC,PL)	zdrëszonëch
Inflect krézowô | ADJ;NOM(FEM,PL)	krézowé
Inflect Bieszkòwice | N;LOC;PL	Bieszkòwicach
Inflect Medal | N;NOM(SG)	Medal
Inflect nazwa | N;ACC(SG)	nazwã
Inflect nazwa | N;GEN(SG)	nazwë
Inflect nazwa | N;DAT(SG)	nazwą
Inflect zanôléżny | ADJ;NOM(PL,FEM)	zanôléżné
Inflect jãzãk | N;NOM(SG)	jãzék
Inflect pòstrzédnik | N;INS(PL)	pòstrzédnikama
Inflect kwantum | N;NOM(SG)	kwantum
Inflect Marley | N;GEN(SG)	Marleya
Inflect Dekler | N;NOM(MASC,SG)	Dekler
Inflect Dekler | N;GEN(PL)	Deklerów
Inflect zwierzę | N;NOM(PL)	Zwierzęta
Inflect fòrmat | N;GEN(PL)	fòrmatów
Inflect chłop | N;ACC(SG)	chłopã
Inflect chłop | N;DAT(PL)	chłopóm
Inflect chłop | N;GEN(PL,MASC)	chłopów
Inflect stół | N;M3;NOM(SG)	stół
Inflect ùchò | N;NOM(SG)	ùchò
Inflect Kijowô | N;DAT(SG)	Kijowã
Inflect rãka | N;LOC;PL	rãkach
Inflect rãka | N;INS(DU)	rãkama
Inflect tołmacz | N;NOM(SG)	tołmacz
Inflect kòszt | V;PST;3;SG	kòsztã
Inflect szëja | N;F;NOM(SG)	szëja
Inflect lasny | N;NOM(SG,MASC)	lasny
Inflect òchrona | N;ACC(SG,FEM)	òchroną
Inflect asistenta | N;ACC(SG)	asistentã
Inflect Liszkach | N;LOC;PL	Liszkach
Inflect chrząszcz | N;M3;NOM(SG)	chrząszcz
Inflect nôstarsza | ADJ;GEN(MASC,PL)	nôstarszëch
Inflect Zôpadny | ADJ;NOM(SG,MASC)	Zôpadny
Inflect spiéwnik | N;NOM(PL)	spiéwniczi
Inflect spiéwnik | N;GEN(SG)	spiéwnika
Inflect stari | ADJ;NOM(FEM,SG)	stara
Inflect wielgi | ADJ;NOM(FEM,SG)	wielgô
Inflect Kòlibrë | N;F;NOM(SG)	Kòlibrë
Inflect Siemirowice | N;NOM(PL)	Siemirowice
Inflect skarwónk | N;NOM(MASC,SG)	skarwónk
Inflect Florida | N;NOM(SG)	Florida
Inflect òdrzëcëc | V;INF	òdrzëcëc
Inflect badanie | N;GEN(PL)	badaniów
Inflect Cządnik | N;NOM(SG)	Cządnik
Inflect ballada | N;ACC(PL)	Ballady
Inflect lékarz | N;DAT(PL)	lékarzã
Inflect Welacëje | N;NOM(PL)	Welacëje
Inflect Zwrócić | V;PST;PFV;IMPRS	Zwrócono
Inflect pszenica | N;ACC(FEM,SG)	pszénicą
Inflect prowadnik | N;GEN(PL)	prowadników
Inflect próbny | ADJ;INS(MASC,SG)	próbnym
Inflect òbrzãda | N;LOC;PL	òbrzãdach
Inflect scéniczny | ADJ;GEN(FEM,SG)	sceniécznôj
Inflect Ùtwórcziniô | N;ACC(SG)	Ùtwórczinië
Inflect cyfrowi | ADJ;GEN(MASC,PL)	cyfrowëch
Inflect pôłnia | N;NOM(SG)	pôłniô
Inflect fragmeńt | N;GEN(PL)	fragmeńtë
Inflect skùtk | N;GEN(PL)	skùtków
Inflect Jork | N;NOM(MASC,SG)	Jorkù
Inflect zwierzãtkò | N;GEN(PL)	zwierzãtków
Inflect Szewczi | N;GEN(SG)	Szewczyka
Inflect òsłonka | N;INS(SG)	òsłonką
Inflect eksterka | N;ACC(FEM,SG)	eksterna
Inflect wëpòczink | N;GEN(SG)	wëpòczinkù
Inflect Austriô | N;NOM(SG)	Austriô
Inflect fònem | N;NOM(SG)	fònem
Inflect kaszëbskòmiemiecczi | ADJ;MASC;PSS;SG	kaszëbskòmiemiecczim
Inflect ptok | N;GEN(PL)	ptoków
Inflect wëzdrzec | V;PST;PFV	wëzdrzec
Inflect wëzdrzec | V;PST;3;SG	wëzdrzi
Inflect zapisu | N;GEN(SG)	zapisu
Inflect droga | N;F;NOM(SG)	droga
Inflect droga | N;LOC;PL	drogach
Inflect Szimpans | N;NOM(SG)	Szimpans
Inflect chikhals | N;DAT(PL)	chikhalsi
Inflect Lënia | N;DAT(SG)	Lëni
Inflect Lënia | N;F;NOM(SG)	Lëniô
Inflect wiatr | N;GEN(SG)	wiatru
Inflect wiatr | N;ACC(SG)	wiatrã
Inflect Archeologòwi | N;DAT(SG)	Archeologòwi
Inflect Òglowi | ADJ;NOM(MASC,SG)	Òglowò
Inflect spòdlecznokùlturalnô | ADJ;GEN(MASC,SG)	spòdlecznokùlturalnégò
Inflect pierwi | ADV;ORD;PST	pierwi
Inflect cek | N;GEN(PL,MASC)	ceków
Inflect przëgrańczanié | V;NFIN	przëgrańcza
Inflect przërównanie | N;INS(SG)	przërównanim
Inflect Krôjna | N;NOM(SG)	Krôjna
Inflect Łapùch | N;VOC(SG)	Łapùcha
Inflect prôch | N;VOC(MASC,SG)	prochù
Inflect zarô | ADV;TME	zarô
Inflect Jerzi | N;NOM(MASC,SG)	Jerzi
Inflect pòrénszë | ADJ;ACC(MASC,SG)	pòrénszégò
Inflect drąg | N;NOM(SG)	drąg
Inflect direkcëjô | N;DAT(SG)	direkcëji
Inflect mòcné | ADJ;ANA;NOM(PL,MASC)	mòcné
Inflect réza | N;GEN(PL)	rézów
Inflect Bazylika | N;NOM(SG)	Bazylika
Inflect album | N;NOM(SG)	album
Inflect sztok | N;GEN(SG)	sztokù
Inflect wëchôdac | V;INF	wëchôdac
Inflect chtërny | ADJ;NOM;VOC(MASC,PL)	niechtërne
Inflect Mirochòwsczi | ADJ;GEN(PL,MASC)	Mirochòwsczich
Inflect brëkac | V;IND;3;PL	brëkùją
Inflect zrzeszenie | N;NOM(SG)	zrzeszenié
Inflect Chryzostom | N;GEN(SG)	Chryzostoma
Inflect Dzemióna | N;NOM(PL)	Dzemiónë
Inflect slepô | ADJ;ACC(FEM,SG)	slepé
Inflect zażëc | V;INF	zażëc
Inflect Kaszëbskô | ADJ;NOM(FEM,SG)	Kaschubische
Inflect państwò | N;NOM(SG)	państwò
Inflect jakòs | ADV;REL	jakòs
Inflect Pszczoła | N;NOM(PL)	Pszczołë
Inflect ùroczëzna | N;LOC;PL	ùroczëznach
Inflect wnet | ADV	wnet
Inflect fałdowany | ADJ;NOM(FEM,SG)	fałdowanô
Inflect tradicja | N;F;NOM(SG)	tradicja
Inflect tradicja | N;GEN(SG)	tradicji
Inflect ùgrëzenié | N;NOM(SG)	ùgrëzenié
Inflect Italskô | ADJ;NOM(FEM,SG)	Italskô
Inflect swiąteczny | ADJ;ACC(FEM,SG)	swiąteczné
Inflect gruńt | N;M3;ACC(PL)	gruńtë
Inflect gruńt | N;GEN(PL)	gruńtów
Inflect Stôri | ADJ;INS(MASC,SG)	Stôrim
Inflect ùczestnienié | N;GEN(SG)	ùczestnieniô
Inflect miasto | N;INS(SG)	miastem
Inflect miasto | N;NOM(SG,NEUT)	miasto
Inflect błëcha | N;NOM(PL)	błëchë
Inflect Ksãżstwò | N;GEN(SG)	Ksãżstwa
Inflect tłumaczenie | N;GEN(SG)	domaczenia
Inflect wëbiéranié | N;LOC;SG	wëbiéraniu
Inflect Turcja | N;DAT(SG)	Turcje
Inflect Turcja | N;GEN(SG)	Turcji
Inflect trawienie | N;GEN(SG)	trawieniô
Inflect mòl | N;VOC(SG)	môlu
Inflect sluzewi | ADJ;VOC(MASC,SG)	sluzowe
Inflect gola | N;NOM(PL)	gòle
Inflect nocny | ADJ;ACC(FEM,SG)	nocné
Inflect òznôczac | V;INF	òznôczac
Inflect mòralnota | N;ACC(SG)	mòralnotã
Inflect Marión | N;NOM(SG)	Marión
Inflect ŁUVCZ | N;NOM(PL)	Łǜczi
Inflect kònstitucyjny | ADJ;ACC(FEM,SG)	kònstitucyjną
Inflect półmaczk | N;DAT(SG)	półmackù
Inflect Baùman | N;GEN(PL)	Baùmanów
Inflect chalcedon | N;NOM(SG)	chalcedón
Inflect amfibia | N;NOM(SG)	amphibia
Inflect czôrny | ADJ;NOM(MASC,SG)	Czôrnawi
Inflect pòdniesc | V;INF	pòdniesc
Inflect Ùstawa | N;ACC(SG,FEM)	Ùstawù
Inflect sparłączenie | N;M3;INS(SG)	sparłączeniém
Inflect rzãda | N;LOC;PL	rzãdach
Inflect amator | ADJ;NOM(MASC,SG)	amatorsczi
Inflect szmak | N;NOM(FEM,SG)	szmaka
Inflect rãka | N;NOM(SG)	roka
Inflect profesjonalista | N;GEN(MASC,PL)	profesjonalistów
Inflect miészańc | N;NOM(SG)	miészańc
Inflect gòspòdarztwò | N;GEN(SG)	gòspòdarztwa
Inflect musza | N;GEN(FEM,SG)	muszi
Inflect spiralã | N;ACC(FEM,SG)	spiralã
Inflect jajk | N;DIM;NOM(SG)	jôjka
Inflect sëny | N;INS(SG)	simum
Inflect kòlibka | N;INS(SG)	kòlibką
Inflect dzéwczë | N;ACC(SG)	dzéwczã
Inflect lësa | N;NOM(PL)	lësy
Inflect pòlskò | N;DAT(SG)	pòlskù
Inflect chòdzëc | V;PST;M;SG	chòdzył
Inflect chòdzëc | V;INF	chòdzëc
Inflect czëło | N;LOC;SG	czilu
Inflect syg | N;GEN(FEM,SG)	sygô
Inflect młodô | ADJ;NOM(MASC,SG)	młodë
Inflect kruszëc | V;NFIN	krusza
Inflect Port | N;NOM(SG)	Port
Inflect ksiądz | N;VOC(SG)	ksãdzi
Inflect òwca | N;ACC(SG)	òwcã
Inflect wãgersczi | ADJ;NOM(MASC,SG)	wãgersczi
Inflect wëszawnôgòrsczi | ADJ;VOC(MASC,SG)	wëszawnôgòrsczi
Inflect głãbia | N;LOC;SG	głębi
Inflect lôska | N;GEN(PL)	lôsków
Inflect szokùjący | ADJ;NOM(PL,MASC)	szokùjące
Inflect miew | N;GEN(PL)	miewów
Inflect Mùzyka | N;ACC(SG)	Mùzykã
Inflect hałas | N;NOM(PL)	hałasë
Inflect Pomorskie | ADJ;NOM(NEUT,SG)	Pomorskie
Inflect Wiejadło | N;NOM(SG,NEUT)	Wiejadło
Inflect matematika | N;GEN(SG)	matematiczi
Inflect matematika | N;NOM(SG)	matematika
Inflect plastik | N;GEN(MASC,SG)	plastikù
Inflect zôpùstë | N;NOM(PL)	zôpùstë
Inflect Zôczątk | N;NOM(PL)	Zôczątczi
Inflect szczur | N;NOM(SG,MASC)	Szczur
Inflect mak | N;ACC(SG)	makã
Inflect òsoba | N;NOM(SG)	òsoba
Inflect doskonały | ADJ;INS(MASC,SG)	Doskonałim
Inflect cwiczëc | V;INF	cwiczëc
Inflect syn | N;ACC(SG,MASC)	syna
Inflect Galatczik | N;GEN(PL)	Galatczików
